lbd,S,freq
7.314e-07,-120.0,409888512441892.25
7.316e-07,-120.0,409776459814106.06
7.318e-07,-48.4047769,409664468433998.4
7.32e-07,-120.0,409552538251366.1
7.322e-07,-47.5722579,409440669216061.2
7.324e-07,-47.6637809,409328861277990.2
7.326e-07,-120.0,409217114387114.4
7.328e-07,-45.5521774,409105428493449.8
7.33e-07,-120.0,408993803547066.8
7.332e-07,-52.629342,408882239498090.56
7.334e-07,-120.0,408770736296700.25
7.336e-07,-120.0,408659293893129.8
7.338e-07,-120.0,408547912237666.94
7.34e-07,-60.6734418,408436591280653.94
7.342e-07,-45.8677445,408325330972487.06
7.344e-07,-41.2062751,408214131263616.56
7.346e-07,-120.0,408102992104546.7
7.348e-07,-120.0,407991913445835.56
7.35e-07,-120.0,407880895238095.25
7.352e-07,-120.0,407769937431991.3
7.354e-07,-120.0,407659039978243.1
7.356e-07,-47.7912583,407548202827623.7
7.358e-07,-120.0,407437425930959.5
7.36e-07,-46.4686815,407326709239130.44
7.362e-07,-120.0,407216052703069.8
7.364e-07,-120.0,407105456273764.3
7.366e-07,-56.4069103,406994919902253.6
7.368e-07,-120.0,406884443539630.9
7.37e-07,-120.0,406774027137042.06
7.372e-07,-43.4823839,406663670645686.4
7.374e-07,-50.1543689,406553374016815.8
7.376e-07,-51.6437927,406443137201735.3
7.378e-07,-48.7124104,406332960151802.7
7.38e-07,-120.0,406222842818428.2
7.382e-07,-52.953753,406112785153075.06
7.384e-07,-48.6595413,406002787107258.94
7.386e-07,-44.5308804,405892848632548.06
7.388e-07,-47.6173908,405782969680563.06
7.39e-07,-44.4968394,405673150202977.0
7.392e-07,-45.9095666,405563390151515.2
7.394e-07,-52.3786688,405453689477955.1
7.396e-07,-120.0,405344048134126.56
7.398e-07,-120.0,405234466071911.3
7.4e-07,-120.0,405124943243243.25
7.402e-07,-120.0,405015479600108.06
7.404e-07,-52.2658312,404906075094543.44
7.406e-07,-57.5859433,404796729678639.0
7.408e-07,-44.5918787,404687443304535.7
7.41e-07,-45.3898228,404578215924426.44
7.412e-07,-49.3126478,404469047490555.9
7.414e-07,-52.0719656,404359937955219.9
7.416e-07,-120.0,404250887270765.9
7.418e-07,-61.2974388,404141895389592.9
7.42e-07,-43.9335282,404032962264151.0
7.422e-07,-120.0,403924087846941.56
7.424e-07,-50.5519301,403815272090517.25
7.426e-07,-49.5851382,403706514947481.8
7.428e-07,-120.0,403597816370490.06
7.43e-07,-120.0,403489176312247.6
7.432e-07,-120.0,403380594725511.3
7.434e-07,-45.4877977,403272071563088.5
7.436e-07,-54.2578485,403163606777837.56
7.438e-07,-52.5237948,403055200322667.4
7.44e-07,-120.0,402946852150537.6
7.442e-07,-46.7764814,402838562214458.5
7.444e-07,-47.6638612,402730330467490.56
7.446e-07,-120.0,402622156862745.06
7.448e-07,-46.1338637,402514041353383.44
7.45e-07,-48.7867485,402405983892617.5
7.452e-07,-120.0,402297984433709.06
7.454e-07,-49.3321915,402190042929970.5
7.456e-07,-120.0,402082159334763.94
7.458e-07,-120.0,401974333601501.75
7.46e-07,-49.382192,401866565683646.06
7.462e-07,-120.0,401758855534709.2
7.464e-07,-51.187747,401651203108253.0
7.466e-07,-120.0,401543608357889.1
7.468e-07,-56.8006576,401436071237279.06
7.47e-07,-47.3880198,401328591700133.9
7.472e-07,-46.8986782,401221169700214.1
7.474e-07,-120.0,401113805191329.94
7.476e-07,-50.7905265,401006498127340.8
7.478e-07,-44.5470723,400899248462155.7
7.48e-07,-120.0,400792056149732.6
7.482e-07,-120.0,400684921144079.1
7.484e-07,-120.0,400577843399251.75
7.486e-07,-60.5842215,400470822869356.1
7.488e-07,-47.1764174,400363859508547.0
7.49e-07,-120.0,400256953271028.0
7.492e-07,-120.0,400150104111051.8
7.494e-07,-120.0,400043311982919.7
7.496e-07,-120.0,399936576840981.9
7.498e-07,-120.0,399829898639637.25
7.5e-07,-120.0,399723277333333.3
7.502e-07,-120.0,399616712876566.25
7.504e-07,-50.6679445,399510205223880.56
7.506e-07,-52.2934181,399403754329869.44
7.508e-07,-120.0,399297360149174.25
7.51e-07,-52.3304162,399191022636484.7
7.512e-07,-120.0,399084741746538.9
7.514e-07,-120.0,398978517434122.94
7.516e-07,-120.0,398872349654071.3
7.518e-07,-44.565563,398766238361266.25
7.52e-07,-44.583563,398660183510638.3
7.522e-07,-120.0,398554185057165.7
7.524e-07,-120.0,398448242955874.56
7.526e-07,-57.827908,398342357161838.94
7.528e-07,-48.0192907,398236527630180.6
7.53e-07,-52.5094171,398130754316069.06
7.532e-07,-120.0,398025037174721.2
7.534e-07,-49.5972171,397919376161401.7
7.536e-07,-46.9990284,397813771231422.5
7.538e-07,-44.3092348,397708222340143.25
7.54e-07,-120.0,397602729442970.8
7.542e-07,-120.0,397497292495359.3
7.544e-07,-120.0,397391911452810.2
7.546e-07,-46.8368194,397286586270871.94
7.548e-07,-120.0,397181316905140.44
7.55e-07,-57.5106538,397076103311258.3
7.552e-07,-46.8908194,396970945444915.25
7.554e-07,-120.0,396865843261848.0
7.556e-07,-44.1000246,396760796717840.1
7.558e-07,-46.9488194,396655805768721.9
7.56e-07,-46.6125854,396550870370370.4
7.562e-07,-120.0,396445990478709.4
7.564e-07,-51.0507407,396341166049709.2
7.566e-07,-49.6412579,396236397039386.75
7.568e-07,-47.4494277,396131683403805.5
7.57e-07,-50.4284119,396027025099075.3
7.572e-07,-50.7446478,395922422081352.3
7.574e-07,-120.0,395817874306839.2
7.576e-07,-120.0,395713381731784.6
7.578e-07,-120.0,395608944312483.5
